section,file,category,date,title,speaker,location,summary,url
Dhamma Talks,1996-2006/2006/All Your Thoughts Are Garbage_24kbs.MP3,2006,2006-28-02,All Your Thoughts Are Garbage,Ajahn Amaro,Abhayagiri,"Step back from the view that thought, feeling, perception is self",http://www.abhayagiri.org/audio/all-your-thoughts-are-garbage
Dhamma Talks,1996-2006/2006/AA - Do You Want My Toe Nails 8-12-06.MP3,2006,2006-13-08,Do You Want My Toenails?,Ajahn Amaro,Abhayagiri,"Use the form, conventions to look back at the heart",http://www.abhayagiri.org/audio/do-you-want-my-toenails
Dhamma Talks,1996-2006/2006/The_Abs_of_Jello.MP3,2006,2006-23-11,The Abs of Jello,Ajahn Amaro,Thanksgiving Monastic Retreat @ Angela Center,Not self and self esteem,http://www.abhayagiri.org/audio/the-abs-of-jello
Dhamma Talks,2007-2016/2007/running_away_from_phantoms.mp3,2007,2007-26-05,Running Away from Phantoms,Ajahn Sucitto,Abhayagiri,Attention and intention in meditation,http://www.abhayagiri.org/audio/running-away-from-phantoms
Dhamma Talks,2007-2016/2007/Ajahn_Dick_06_09_2007_Living_with_Luang_Ta_Maha_Boowa.mp3,2007,2007-09-06,Living with Luang Ta Maha Boowa,Ajahn (Dick) Silaratano,Abhayagiri,Daily life with Luang Ta Maha Boowa,http://www.abhayagiri.org/audio/living-with-luang-ta-maha-boowa
Dhamma Talks,2007-2016/2007/AA - 09.01.07 Ah So.mp3,2007,2007-01-09,Ah So,Ajahn Amaro,Abhayagiri,The eight wordly concerns,http://www.abhayagiri.org/audio/ah-so
Dhamma Talks,2007-2016/2008/05.22.08 Ajahn Sona - Small House and a Large Garden.MP3,2008,2008-22-05,Small House and a Large Garden,Ajahn Sona,Abhayagiri,Going forth and right effort towards the beautiful,http://www.abhayagiri.org/audio/small-house-and-a-large-garden
Dhamma Talks,2007-2016/2008/challenging_conditions.MP3,2008,2008-13-06,Challenging Conditions,Ajahn Candasiri,"10-day Retreat @ Spirit Rock, California",Self identity and the five aggregates,http://www.abhayagiri.org/audio/challenging-conditions
Dhamma Talks,2007-2016/2008/mirror_mirror.MP3,2008,2008-14-06,"Mirror, Mirror...",Luang Por Sumedho,"10-day Retreat @ Spirit Rock, California","Be the knower of conditions, not the owner of them",http://www.abhayagiri.org/audio/mirror-mirror
Dhamma Talks,2007-2016/2008/10.26.08 Heng Sure Dhamma Talk on Kaccana's Ordination.mp3,2008,2008-21-08,Dhamma Talk at Tan Kaccāna's Bhikkhu Ordination,Reverend Heng Sure,Abhayagiri,Reflections on entering the holy life,
Dhamma Talks,2007-2016/2009/D3_aft_Karaniya_Metta.mp3,2009,2009-17-02,The Karaniya Metta Sutta,Luang Por Pasanno,Abhayagiri,Reflecting on Buddha's Karaniya Metta Sutta,http://www.abhayagiri.org/audio/the-discourse-on-loving-kindness
Dhamma Talks,2007-2016/2009/LP_Liem_06_07_09_Grat.mp3,2009,2009-29-06,"Everyone Benefits, Nobody Loses Out",Luang Por Liem,Abhayagiri,A reflection on spiritual gratitude,http://www.abhayagiri.org/audio/everyone-benefits-nobody-loses-out
Dhamma Talks,2007-2016/2009/A_Jaya_06_21_09_Upa.mp3,2009,2009-24-07,Not a Belief System,Ajahn Jayasaro,Abhayagiri,"Buddhism is an education system, not a belief system",http://www.abhayagiri.org/audio/the-buddhas-education-system
Dhamma Talks,2007-2016/2009/AKd_10_17_2009_The_Gradual_Path.mp3,2009,2009-17-10,The Gradual Path,Ajahn Karuṇadhammo,Abhayagiri,Even the conditioned perception of Nibbana for an instant is time well spent,http://www.abhayagiri.org/audio/the-gradual-path
Dhamma Talks,2007-2016/2009/Aj_Sona_10_10_09.mp3,2009,2009-18-10,Who is dying?,Ajahn Sona,Abhayagiri,"What it means to be ""dying"" and its significance for the living",http://www.abhayagiri.org/audio/who-is-dying
Dhamma Talks,2007-2016/2009/Day_5_The_Brahmaviharas_Bringing_the_Heart_into_the_Present.MP3,2009,2009-22-12,The Brahmaviharas: Bringing the Heart into the Present,Ajahn Metta,Thanksgiving Monastic Retreat @ Angela Center,The four Brahmaviharas,http://www.abhayagiri.org/audio/brahmaviharas
Dhamma Talks,2007-2016/2010/AA_02_08_10_O.B.E.-F.Y.I.mp3,2010,2010-07-02,O.B.E...F.Y.I.,Ajahn Amaro,Abhayagiri,Accepting the abbotship of Amaravati and the view of not self,http://www.abhayagiri.org/audio/o.b.e...f.y.i
Dhamma Talks,2007-2016/2010/Aj_Suc_06_05_2010_where_are_you.mp3,2010,2010-12-06,Where are you?,Ajahn Sucitto,Abhayagiri,"How to approach the daunting virtues of patience, sense restraint and renunciation
",http://www.abhayagiri.org/audio/where-are-you
Dhamma Talks,2007-2016/2010/AA_06_19_2010_The_Relish_of_Becoming.mp3,2010,2010-19-06,The Relish of Becoming,Ajahn Amaro,Abhayagiri,Self view and the four aspects of right effort,http://www.abhayagiri.org/audio/the-relish-of-becoming
Dhamma Talks,2007-2016/2011/AV_06_16_2011_Recollections_of_LPCha.mp3,2011,2011-16-06,Recollections of Ajahn Chah,Luang Por Viradhammo,Abhayagiri,Recollections of Ajahn Chah,http://www.abhayagiri.org/audio/recollections-of-lpcha
Dhamma Talks,2007-2016/2011/AV_06_22_2011_Parting_Words.MP3,2011,2011-01-07,Parting Words,Luang Por Viradhammo,Abhayagiri,We are given the freedom to watch the way things are,http://www.abhayagiri.org/audio/parting-words
Dhamma Talks,2007-2016/2011/AS_12_18_2011_Sacca.MP3,2011,2011-18-12,Sacca,Ajahn Saññamo,Abhayagiri,Devote yourself to goodness,http://www.abhayagiri.org/audio/sacca
Dhamma Talks,2007-2016/2012/AP_05_19_2012_Developing_in_Virtue.mp3,2012,2012-19-05,Developing in Virtue,Luang Por Pasanno,Abhayagiri,The importance of virtue as a foundation for practice,http://www.abhayagiri.org/audio/developing-in-virtue
Dhamma Talks,2007-2016/2012/120527_Ajahn Sudanto_Expectations.mp3,2012,2012-27-05,Expectations,Ajahn Sudanto,Retreat @ Birken,,
Dhamma Talks,2007-2016/2012/DS_11_23_2012_Monastic_Retreat_There_Is_No_Reason_to_Believe.mp3,2012,2012-23-11,There Is No Reason to Believe,Debbie Stamp,Thanksgiving Monastic Retreat @ Angela Center,We are preparing for little deaths all the time,http://www.abhayagiri.org/media/discs/APasannoRetreats/2012%20Thanksgiving%20Retreat/DS_11_23_2012_Monastic_Retreat_There_Is_No_Reason_to_Believe.mp3
Dhamma Talks,2007-2016/2012/AP_11_24_2012_Monastic_Retreat_Anicca_Dukkha_Anatta.mp3,2012,2012-24-11,Anicca Dukkha Anatta,Luang Por Pasanno,Thanksgiving Monastic Retreat @ Angela Center,The khandas have never been under our control,http://www.abhayagiri.org/media/discs/APasannoRetreats/2012%20Thanksgiving%20Retreat/AP_11_24_2012_Monastic_Retreat_Anicca_Dukkha_Anatta.mp3
Dhamma Talks,2007-2016/2013/ADtun_05_08_2013_QA2_This_is_How_I_Practiced.mp3,2013,2013-08-05,This is How I Practiced,Tan Ajahn Dtun,Abhayagiri,"Ajahn Dtun speaks about tudong, faith, food and daily practice",http://www.abhayagiri.org/media/audio/ADtun_05_08_2013_QA2_This_is_How_I_Practiced.mp3
Dhamma Talks,2007-2016/2013/ADtun_05_09_2013_Cutting_Out_Attachment_to_the_Body.mp3,2013,2013-09-05,Cutting Out Attachment to the Body,Tan Ajahn Dtun,Abhayagiri,The importance of precepts and contemplation of the body,http://www.abhayagiri.org/audio/cutting-out-attachment-to-the-body
Dhamma Talks,2007-2016/2013/Aj_Suc_05_24_2013_Where_Body_and_Mind_Meet.mp3,2013,2013-24-05,Where Body and Mind Meet,Ajahn Sucitto,Abhayagiri,The field of practice is where we can resolve the world,http://www.abhayagiri.org/audio/where-body-and-mind-meet
Dhamma Talks,2007-2016/2013/AY_11_10_2013_Authenticity_and_Freedom.mp3,2013,2013-10-11,Authenticity and Freedom,Ajahn Yatiko,"Ascension Lutheran Church @ Edmonton, Cananda","Ajahn Yatiko's reflections on his brother's life, values and suicide",http://www.abhayagiri.org/audio/authenticity-and-freedom
Dhamma Talks,2007-2016/2013/AN_11_27_2013_Monastic_Retreat_aft_Tomorrow_Who_Knows_Death_May_Come.mp3,2013,2013-27-11,"Tomorrow, Who Knows, Death May Come",Ajahn Ñāniko,Abhayagiri,The reminder of death and the smallness of everyday difficulties,http://www.abhayagiri.org/audio/monastic-retreat-2013-tomorrow-who-knows-death-may-come
Dhamma Talks,2007-2016/2014/AP_08_09_2014_A_Rhythm_of_Nature.mp3,2014,2014-09-08,A Rhythm of Nature,Luang Por Pasanno,Abhayagiri,"The breath connects us to nature, not to our personality",http://www.abhayagiri.org/audio/a-rhythm-of-nature
Dhamma Talks,2007-2016/2014/LP_Sumedho_07_13_2014_Wisdom_is_Available_Every_Moment.mp3,2014,2014-13-08,Wisdom Is Available Every Moment,Luang Por Sumedho,"City of 10,000 Buddhas","The Four Noble Truths, awareness,personality,and the refuge of the Triple Gem",http://www.abhayagiri.org/audio/wisdom-is-available-every-moment
Dhamma Talks,2007-2016/2014/AP_08_16_2014_Wise Attention.mp3,2014,2014-16-08,Wise Attention (Yoniso Manasikāra),Luang Por Pasanno,Abhayagiri,Using wise application of thought to settle the mind,http://www.abhayagiri.org/audio/wise-attention
Dhamma Talks,2007-2016/2014/AP_10_10_2014_Talk_at_First_international_Tipitaka_Chanting_Ceremony.mp3,2014,2014-10-10,Dhamma Talk at the International Tipitaka Chanting Ceremony,Luang Por Pasanno,"International Tipitaka Chanting Ceremony, Berkeley, CA","A happy mind is easily concentrated, not the other way around",https://www.youtube.com/watch?v=2g7Y0IpKz2g
Dhamma Talks,2007-2016/2015/AAh_05_02_2015_Returning_the_Light.mp3,2015,2015-02-05,Returning the Light,Ajahn Ahiṃsako,Abhayagiri,Bringing the mind back in to peaceful stillness,http://www.abhayagiri.org/audio/returning-the-light
Dhamma Talks,2007-2016/2015/AKd_10_12_2015_I_Am_of_the_Nature_to_Age.mp3,2015,2015-12-10,I Am of the Nature to Age,Ajahn Karuṇadhammo,Abhayagiri,"When the khandas turn against us, is there a way out of suffering",http://www.abhayagiri.org/audio/i-am-of-the-nature-to-age
Dhamma Talks,2007-2016/2015/AP_11_18_2015_Seclusion_Dispassion_Cessation_Relinquishment.mp3,2015,2015-18-11,"Seclusion, Dispassion, Cessation, Relinquishment",Luang Por Pasanno,Abhayagiri,Four qualities of the heart to cultivate in all aspects of the path,http://www.abhayagiri.org/audio/seclusion-dispassion-cessation-relinquishment
Dhamma Talks,2007-2016/2015/09_AKd_11_23_2015_TMR_Prepratory_Investigations_to_Settle_the_Mind.mp3,2015,2015-23-11,Prepratory Investigations to Settle the Mind,Ajahn Karuṇadhammo,Thanksgiving Monastic Retreat @ Angela Center,Metta and other reflections to uplift the mind before breath meditation,
Dhamma Talks,2007-2016/2016/AJ_03_01_2016_No_Matter_How_Far.mp3.mp3,2016,2016-01-03,No Matter How Far,Ajahn Jotipālo,Abhayagiri,The five hindrances as tools for wisdom,http://www.abhayagiri.org/audio/no-matter-how-far
Dhamma Talks,2007-2016/2016/AS_04_21_2016_Daily_Life_Jhana.mp3,2016,2016-21-04,Daily Life Jhana,Ajahn Sucitto,Abhayagiri,Absorb.  Could it be this simple?,http://www.abhayagiri.org/audio/daily-life-jhana
Dhamma Talks,2007-2016/2016/AP_04_11_2016_DRBU_An_Integrated_Path.mp3,2016,2016-13-05,An Integrated Path,Luang Por Pasanno,Abhayagiri,The Buddha's path has but one goal–liberation from suffering–and all the tools work together to this end.,http://www.abhayagiri.org/audio/an-integrated-path-DRBU
Dhamma Talks,2007-2016/2016/ADtun_5_28_16_From_Slave_of_the_Body_to_Freedom_of_Mind_ThaiEng.mp3,2016,2016-26-05,From Slave of the Body to Freedom of Mind,Tan Ajahn Dtun,Abhayagiri,From deluded attachment to the body to pure knowing.,http://www.abhayagiri.org/audio/from-slave-of-the-body-to-freedom-of-mind
Dhamma Talks,Pavarana/AbComm_10_30_2010_Pavarana_Talks.mp3,Pavarana,2011-12-10,Pavarana Day 2010 Community Talks,Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,
Dhamma Talks,Pavarana/Sangha_10_12_2011_End_Of_Pansa_Dhamma_Talks_Part1.mp3,Pavarana,2011-12-10,Pavarana Day 2011 Community Talks (Part 1),Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,
Dhamma Talks,Pavarana/Sangha_10_12_2011_End_Of_Pansa_Dhamma_Talks_Part2.mp3,Pavarana,2011-12-10,Pavarana Day 2011 Community Talks (Part 2),Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,
Dhamma Talks,Pavarana/AbComm_10_30_2012_End of Vassa Dhamma Talks 2012.mp3,Pavarana,2012-30-10,Pavarana Day 2012 Community Talks,Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,http://www.abhayagiri.org/audio/pavarana-day-community-talks
Dhamma Talks,Pavarana/AbComm_10_08_2014_End_of_Vassa_Community_Talks.mp3,Pavarana,2014-08-10,Pavarana Day 2014 Community Talks,Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,http://www.abhayagiri.org/audio/pavarana-day-2014-community-talks
Dhamma Talks,Pavarana/AbComm_10_27_2015_Pavarana_Talks.mp3,Pavarana,2015-27-10,Pavarana Day 2015 Community Talks,Abhayagiri Saṅgha,Abhayagiri,End of Vassa reflections,http://www.abhayagiri.org/audio/pavarana-day-2015-community-talks
Dhamma Talks,Tudong/AY_07_16_2011_Tudong_in_California.mp3,Tudong,2011-16-08,Tudong in California,Ajahn Yatiko,Abhayagiri,Reflections about tudong from Abhaygiri to San Diego,http://www.abhayagiri.org/audio/tudong-in-califonia
Dhamma Talks,Tudong/AJ_04_25_2013_Faith_on_Mississippi_Tudong.mp3,Tudong,2013-25-04,Faith on Mississippi Tudong,Ajahn Jotipālo,Abhayagiri,The role of faith and metta practice on tudong,http://www.abhayagiri.org/audio/faith_on_mississippi_tudong
Dhamma Talks,Tudong/AN_07_15_2013_Sacred_Uncertainty_Our_West_Coast_Pilgrimage.mp3,Tudong,2013-15-08,Sacred Uncertainty: Our West Coast Pilgrimage,Ajahn Ñāniko,Abhayagiri,The kindness of strangers on pilgrimage from Abayagiri to Pacific Hermitage,http://www.abhayagiri.org/audio/sacred-uncertainty-our-west-coast-pilgrimage
Dhamma Talks,Tudong/AN_07_21_2013_Standing_at_Markets_More_Pilgrimage_Tales.mp3,Tudong,2013-20-08,Standing at Markets: More Pilgrimage Tales,Ajahn Ñāniko,Abhayagiri,Patient endurance and faith in basic goodness,http://www.abhayagiri.org/audio/standing-at-markets-more-pilgrimage-tales
Dhamma Talks,Tudong/AN_11_06_2014_Circles_of_Blessing_Our_Redwood_Tudong.mp3,Tudong,2014-06-11,Circles of Blessing: Our Redwood Tudong,Ajahn Ñāniko,Abhayagiri,Two week tudong from Ft Bragg north to Avenue of the Giants with Tan Pamutto,http://www.abhayagiri.org/audio/circles-of-blessing-our-redwood-tudong
Dhamma Talks,Tudong/AP_AKd_AN_04_19_2015_Upasika_Day_Pilgrimage_4_Tudong.mp3,Tudong,2015-19-04,Tudong Pilgrimage in Thailand,Luang Por Pasanno,Upasika Day @ Abhayagiri,Wandering through the jungle in Thailand as spiritual practice,http://www.abhayagiri.org/audio/upasika-day-tudong-pilgrimage-in-thailand
Dhamma Talks,Other/Iris_10_18_2008_Dhamma_Talk_Request.mp3,Other,2008-18-10,Dhamma Talk Request,Iris Landsburg,Abhayagiri,"For many years, Iris Landsberg (1949-2014) graced Abhayagiri evening sittings with her beautiful Dhamma talk request.",http://www.abhayagiri.org/audio/dhamma-talk-request
Dhamma Talks,Other/C09HighestBlessings.mp3,Other,2009-05-03,The Highest Blessings,Abhayagiri Saṅgha,Abhayagiri,Chanting,http://www.abhayagiri.org/audio/highest-blessings-2009
Dhamma Talks,Other/LPLiem_07_11_2015_Chanting_for_the_Reception_Hall.mp3,Other,2015-11-07,Chanting for the Reception Hall,"Luang Por Liem, et. al.",Abhayagiri,Chanting,http://www.abhayagiri.org/audio/chanting-for-the-reception-hall
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 01 - Opening Chanting.mp3,Saturday Morning,2001-04-28,Opening Chanting,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 02 - Welcome and Reflection by Ajahn Chah.mp3,Saturday Morning,2001-04-28,Welcome and Reflection by Ajahn Chah,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 03 - Legacy of Ajahn Chah by Ajahn Jitindriya.mp3,Saturday Morning,2001-04-28,Legacy of Ajahn Chah by Ajahn Jitindriya,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 04 - Opening Reflections by Ajahn Sumedho.mp3,Saturday Morning,2001-04-28,Opening Reflections by Ajahn Sumedho,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 05 - Reflections by Ajahn Pasanno.mp3,Saturday Morning,2001-04-28,Reflections by Ajahn Pasanno,,,,
Ajahn Chah Weekend,"Ajahn Chah Weekend/Ajahn Chah Weekend - 06 - Intro to Chant on Buddha, Dhamma and Sangha.mp3",Saturday Afternoon,2001-04-28,"Intro to Chant on Buddha, Dhamma and Sangha",,,,
Ajahn Chah Weekend,"Ajahn Chah Weekend/Ajahn Chah Weekend - 07 - Chanting on Buddha, Dhamma and Sangha.mp3",Saturday Afternoon,2001-04-28,"Chanting on Buddha, Dhamma and Sangha",,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 08 - Ajahn Chah Reading.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah Reading,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 09 - Early Life of Ajahn Chah by Ajahn Amaro.mp3,Saturday Afternoon,2001-04-28,Early Life of Ajahn Chah by Ajahn Amaro,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 10 - Reflections by Paul Breiter.mp3,Saturday Afternoon,2001-04-28,Reflections by Paul Breiter,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 11 - Reflections by Joseph Kappel.mp3,Saturday Afternoon,2001-04-28,Reflections by Joseph Kappel,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 12 - Questions & Answers 1.mp3,Saturday Afternoon,2001-04-28,Questions & Answers 1,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 13 - Teachings to Marjorie - Ajahn Chah.mp3,Saturday Afternoon,2001-04-28,Teachings to Marjorie - Ajahn Chah,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 14 - Ajahn Chah's Teachings by Thanissara.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Thanissara,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 15 - Ajahn Chah's Teachings by Paul Breiter.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Paul Breiter,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 16 - Ajahn Chah's Teachings by Ajahn Sumedho.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Ajahn Sumedho,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 17 - Ajahn Chah's Teachings by Kittisaro.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Kittisaro,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 18 - Ajahn Chah's Teachings by Ajahn MahaPrasert.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Ajahn MahaPrasert,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 19 - Ajahn Chah's Teachings by Ajahn Sundara.mp3,Saturday Afternoon,2001-04-28,Ajahn Chah's Teachings by Ajahn Sundara,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 20 - Questions & Answers 2 - Ajahn Chah's Teachings.mp3,Saturday Afternoon,2001-04-28,Questions & Answers 2 - Ajahn Chah's Teachings,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 21 - Questions & Answers 3 - Monastic Life and Rules.mp3,Saturday Afternoon,2001-04-28,Monastic Life and Rules,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 22 - Questions & Answers 4 - About Chithurst Monastery.mp3,Saturday Afternoon,2001-04-28,About Chithurst Monastery,,,,
Ajahn Chah Weekend,Ajahn Chah Weekend/Ajahn Chah Weekend - 23 - Chanting.mp3,Sunday Morning,2001-04-29,Chanting,,,,
